menu_id,label,path,icon,parent_id,sort_order,required_permission,description
portal,ポータル,/home,layout-dashboard,,10,,
studio,Studio,/apps/studio,hammer,,20,,
st-home,ホーム,/apps/studio,,studio,10,,
st-modeler,Modeler,/apps/studio/modeler,,studio,20,,
st-mdl-define,モデル定義,/apps/studio/modeler/models,,st-modeler,10,,
st-mdl-records,データ管理,/apps/studio/modeler/records,,st-modeler,20,,
st-mdl-codes,コードマスタ,/apps/studio/modeler/codes,,st-modeler,30,,
promarker,ProMarker,/promarker,wand-2,,30,,
pm-payout,ワークスペース,/promarker,,promarker,10,,
pm-stencils,ステンシル一覧,/promarker/stencils,,promarker,20,,
workflow,業務ワークフロー,/workflow,git-fork,,40,,
wf-process,プロセス定義,/workflow/process,,workflow,10,,
wf-execution,実行 / タスク一覧,/workflow/tasks,,workflow,20,,
wf-audit,監査ログ,/workflow/audit,,workflow,30,,
admin,管理機能,/admin,settings,,900,ADMIN|TENANT_ADMIN,
adm-platform,プラットフォーム管理,/admin/platform,,admin,10,ADMIN|TENANT_ADMIN,運営者向けシステム全体の管理
adm-tenants,テナント一覧,/admin/platform/tenants,,adm-platform,10,ADMIN|TENANT_ADMIN,
adm-license-plan,ライセンスプラン定義,/admin/platform/license-plans,,adm-platform,20,ADMIN|TENANT_ADMIN,将来実装
adm-system,システム共通設定,/admin/platform/system,,adm-platform,30,ADMIN|TENANT_ADMIN,
adm-status,システムステータス,/admin/platform/status,,adm-platform,35,ADMIN|TENANT_ADMIN,
adm-menu,メニュー定義管理,/admin/platform/menu,,adm-platform,40,ADMIN|TENANT_ADMIN,
sitemap,サイトマップ,/admin/platform/sitemap,,adm-platform,50,ADMIN|TENANT_ADMIN,
adm-workspace,テナント管理,/admin/workspace,,admin,20,ADMIN|TENANT_ADMIN,ワークスペース管理者向け
adm-license,契約・ライセンス管理,/admin/workspace/license,,adm-workspace,10,ADMIN|TENANT_ADMIN,
adm-ws-settings,ワークスペース設定,/admin/workspace/settings,,adm-workspace,20,ADMIN|TENANT_ADMIN,
adm-announcement,通知設定,/admin/workspace/announcements,,adm-workspace,30,ADMIN|TENANT_ADMIN,
adm-identity,ユーザー・権限管理,/admin/identity,,admin,30,ADMIN|TENANT_ADMIN,
adm-users,ユーザー管理,/admin/identity/users,,adm-identity,10,ADMIN|TENANT_ADMIN,
adm-roles,ロール管理,/admin/identity/roles,,adm-identity,20,ADMIN|TENANT_ADMIN,
adm-invite,アクセス招待,/admin/identity/invite,,adm-identity,30,ADMIN|TENANT_ADMIN,将来実装
adm-master,マスタメンテナンス,/admin/master,,admin,40,ADMIN|TENANT_ADMIN,業務横断マスタ管理
adm-org,組織マスタ,/admin/master/organization,,adm-master,10,ADMIN|TENANT_ADMIN,
adm-business,業務マスタ,/admin/master/business,,adm-master,30,ADMIN|TENANT_ADMIN,将来実装
